;location_id;city;culture_text
0;80998925;Tirana;"['Orthodox Church', 'Catholic Church', ""Et'hem Bey Mosque"", ""Mosque 'Kokonozit'"", 'Saint Paul Catholic Cathedral', 'Resurrection of Christ Orthodox Cathedral', 'Kapllan Pasha Tomb', 'The Sheh Dyrri Teqe', ""Tanners' Mosque"", 'National History Museum', 'National Gallery of Arts', 'National Archaeological Museum', 'Natural Sciences Museum of Albania', 'Tirana Mosaic', ""Bunk'Art"", ""Bunk'Art 2"", 'House of Leaves', 'ZETA Center for Contemporary Art', 'The Museum of the Bank of Albania', 'Bektashism Museum', 'Historical Museum of the Armed Forces', 'Fortress of Justinian (Tirana Castle remains)', 'Bush Street', 'Piramida', 'Blloku or Ish-Blloku', ""Tanners' Bridge"", 'National Library of Albania', 'Clock Tower', ""Sali Shijaku's Traditional House"", 'Tirana Zoo', ""Martyrs' Cemetery"", 'Petrela Castle', 'Preze Castle', 'Dajti Castle ruins', 'Ndroqi Castle ruins', 'Persqopi Archeological Site']"
1;81211924;Bashkia Durrës;"['Shen Lucia Catholic Church', 'Shen Gjergji Orthodox Church', 'Saint Asti and Saint Paul Orthodox Church', 'Fatih Mosque', 'Great Mosque of Durres', 'New Mosque', 'Little Mosque', 'Archaeological Museum', 'Popular Culture Museum', 'Alexander Moissi Museum House', 'World War II Relics Hall', 'Koloseo Art Gallery', 'Durres Amphitheater', 'Durres Ancient City Wall', 'Venetian Tower', 'Shen Mehilli Hill', 'Byzantine Forum', 'Municipality', ""King Zog's Villa"", 'Kavaja Rock', 'Lalzit Bay Area', 'Rodoni Castle', 'Scanderbeg Castle', 'Shen Ndout Church']"
2;80988305;Berat;"['The Castle', 'Onufri Museum', 'Berat Ethnographic Museum', 'Mangalem old town area', 'Gorica old town area', 'St Mary church', 'Church of St Demetrius', 'Church of St. Theodore', 'Church of St. Sophia', 'Dormition Cathedral', 'Holy Trinity Church', 'Saint Michael Church', 'Cathedral of St. Bitri', 'Sahatit Mosque', 'Kuqe Mosque', ""Bachelors' Mosque"", 'Mbret Mosque', 'Tekke of Helveti', 'Lead Mosque', 'MiG Cemetery', 'Tomorri Mountain', 'Bogova Waterfall', 'Osumi River Canyon']"
3;81163855;Fier;['History Museum of Fier', 'Saint George Cathedral', 'Ardenica Monastery', 'Byllis', 'Apollonia', 'Archaeological Museum of Apollonia']
4;82606854;Gjirokastra;['Gjirokastër Castle', 'Ethnographic Museum', 'Old Bazaar and Historic Ottoman Homes', 'Kadare House', 'Skenduli House', 'Zekate House', 'Saint Sotira Church', 'Gjirokaster Mosque', 'Seven Fountains, Mechite Mosque Remains, and the Hamams', 'Cold War Museum', 'Sofratike', 'Kardhiq', 'Paleokaster', 'Labove', 'Tepelena', 'The Illyrian city of Antigone']
5;82714653;Korçë;"['National Museum of Medieval Art', 'Korça Brewery', 'Archaeological Museum', 'Gjon Mili Museum of Photography', 'Bratko Museum', 'First Albanian School &amp; Museum of Education', 'French Lyceum', ""Martyrs' Cemetery"", 'French Military Cemetery', 'Resurrection of Christ Orthodox Cathedral']"
6;81264380;Kruje;['Kruje Castle', 'Kruja Ethnographic Museum', 'Skanderbeg Museum', 'Medieval Hamam', 'Church of Skanderbeg', 'The Tower Houses of Kruja', 'Faith Mosque', 'Old Bazaar', 'Merat Beut Mosque', 'Cave of Sari Salltëku', 'Skanderbeg Monument', 'Albanopolis']
7;82034592;Shkoder;"['KalajaRozafa Fortress', 'Shkodër Historical Museum', 'Marubi National Museum of Photography', 'Lake Shkodra', 'Mes Bridge', 'Drisht Castle', 'Shurdhah Island', 'Five Heroes monument', 'Museum of Witness &amp; Memory', 'Ebu Beker Mosque', 'Shkodër Orthodox Cathedral', 'Shkodër Cathedral', 'Fretënve Church']"
8;77184705;Algiers;"['Great Mosque of Algiers', ""Martyrs' Memorial"", 'National Museum of Fine Arts of Algiers', ""Grande Poste d'Alger"", 'Palais des Raïs', ""Jardin d'essais of el-hamma"", 'Djamaa el Djazaïr', 'Bardo National Museum', 'National Museum of Fine Arts of Algiers', 'National Museum of Antiquities and Islamic Art', 'Museum of Popular Arts and Traditions', 'Museum of Modern Art of Algiers', 'Basilica of Our Lady of Africa', 'Ketchaoua Mosque', 'El Djedid Mosque', 'El Barani Mosque', 'Ali la Pointe Museum']"
9;80236500;Annaba;['Church of Saint Augustine of Hippo', 'Salah Bey Mosque', 'Hippo Regius Museum']
10;76870281;Batna;[‚Roman Ruins', 'Aurès mountains', 'Belzma National park‘]
11;289873520;Bashar;NA
12;77509915;Constantine;"['Emir Abd Elkader Mosque', 'Théâtre Régional de Constantine Mohamed Tahar Fergani', ""Bois de la Légion d'Honneur"", 'Salah Bey Viaduct', ""Sidi M'Cid Bridge"", 'Passerelle Slimane Mellah', 'Ahmed Bey Palace']"
13;288454183;Oran;"['Santa Cruz Fort', 'Santa Cruz chapel', 'Sacred Heart Cathedral of Oran', 'Hassan Pasha Mosque', 'Oran zoo', 'Abdellah Ben Salem Mosque', ""Bey's Palace"", 'Ahmed Zabana National Museum', 'Museum of Modern Art of Oran']"
14;77619853;Setif;['Ain El Fouara Fountain', 'Byzantine citadel', 'Sitifis Roman circus', 'Djémila']
15;76738370;Tamanghasset;NA
16;47786095;Buenos Aires;['Remembrance park', 'Cementerio de la Recoleta', 'Palermo Viejo district', 'San Telmo']
17;37182783;Cordoba;['Córdoba Cathedral', 'Capilla doméstica', 'Iglesia Sagrado Corazón', 'Palacio Municipal', 'Monument of San Martín', 'Archaeology and Anthropology museum']
18;48378348;La Plata;['Museum of La Plata', 'Museo Provincial de Bellas Artes Emilio Pettoruti', 'Museum of Contemporary Latin American Art', 'La Plata Gymnastic and Fencing Club Museum', 'Casa Mariani Teruggi', 'Dr Emilio Azzarini Thematic Museum', 'The Cathedral', 'Curutchet House', 'Cemetery of La Plata']
19;34018474;Mendoza;['Plaza Independencia', 'Plaza España', 'Central Park', 'Casa de Fader']
20;46858241;Rosario;['National Flag Memorial', 'El Che Guevara birthplace house', 'Parque de la Independencia', 'Estadio Gigante de Arroyito', 'Paseo del Siglo', 'Paseo del Caminante', 'Parque de España', 'Cathedral Basilica of Our Lady of the Rosary', 'Dr. Julio Marc Provincial Historical Museum', 'Juan B. Castagnino Fine Arts Museum', 'Museum of Contemporary Art of Rosario', 'Firma y Odilo Estévez Municipal Decorative Art Museum', 'Museum of the City of Rosario Wladimir Mikielievich', 'Memorial Museum', 'Dr. Ángel Gallardo Provincial Natural Sciences Museum', 'Santa Fe Sports Museum']
21;36762900;Salta;['Cabildo Histórico de Salta', 'Cerro San Bernardo', 'MAAM museum', 'Iglesia San Francisco', 'Museo Antropológico', 'Pajcha', 'Museo El Tribuno Guillermo Pajarito Velarde']
22;33165792;San Carlos de Bariloche;['Museo de la Patagonia', 'Huemul Project Site']
23;37037556;San Juan;['El Castillo San Felipe del Morro', 'El Castillo de San Cristóbal', 'Bacardi Rum Factory', 'Caparra Ruins and Museum', 'San Juan National Historic Site']
