;location_id;city;general_info_text
0;80998925;Tirana;Tirana (Albanian: Tiranë) is the bustling and relatively modernised capital of Albania. It is the most important economic, financial, political and trade centre in the country. The city was announced as the European Youth Capital for 2022. Many tourists usually find Tirana a charming city, with both cosmopolitan and small town feelings, and a lively night life. Unpaved streets host brand new Land Rovers, iPhone-toting youngsters rub shoulders with street vendors peddling all manner of items, and gleaming glass towers look down on abandoned construction projects.
1;81211924;Bashkia Durrës;Durrës is an Albanian Adriatic port city. It has ferries to Bari and Ancona in (Italy) and bus connections to other Albanian and international destinations, often via Tirana. Alternative spellings of the city's name are Durazzo (Italian), Drač (Драч, Serbo-Croatian) or Dyrrhachion (Δυρράχιον, Greek).
2;80988305;Berat;"Berat is a city in Albania. In 2008 it was designated as a UNESCO World Heritage Site as it is a rare example of a well-preserved Ottoman city. It is one of the country's most beautiful cities, and is known as the ""city of a thousand windows""."
3;81163855;Fier;Fier is a city in Albania. It is a modern and uninteresting city, which serves as a transit point on the way from Tirana and Durres to the southern part of the country. Near Fier is Apollonia, one of the country's main monuments of ancient times.
4;82606854;Gjirokastra;Gjirokastër is a town and a UNESCO world heritage site in Southeastern Albania.
5;82714653;Korçë;Korçë (Korça) is the principal city and an important cultural and industrial centre in the district of Korçë in Southeastern Albania.
6;81264380;Kruje;Kruje, also Kruja in English, is a city in Albania just north of Tirana that is rich in history. Kruja has a long list of attractions to offer tourists from the ancient castle nestled in the craggy rocks, two museums, stunning views, a nearby national park, sacred temples, natural springs, the ancient city ruins of Albanopolis, and the old bazaar.
7;82034592;Shkoder;Shkodër (Albanian: Shkodra) was the capital city of Albania for centuries until 1915 when World War I broke out. Now it is the second largest city in Albania with 135,612 people.
8;77184705;Algiers;Located on the Mediterranean coast, Algiers is a city of contrasts, with a blend of modern and traditional architecture, as well as stunning natural beauty. Tourists to Algiers can explore its rich cultural heritage, including its Ottoman and French colonial influences, or take in the breathtaking views of the Bay of Algiers.
9;80236500;Annaba;Annaba is a coastal city in Northeast Algeria.
