;location_id;city;general_info_text
0;83283908;Istanbul;"Istanbul (Turkish: İstanbul) is a very large city of fantastic history, culture and beauty. Called Byzantium in ancient times, the city's name was changed to Constantinople in 324 CE when it was rebuilt by the first Christian Roman Emperor, Constantine. The name ""Istanbul"", perhaps surprisingly, comes from Greek and could be translated as a corruption of ""to the city"". While the term had been in widespread use for centuries, it only became the official name of the city upon the foundation of the Republic of Turkey in the 1920s."
1;80403257;Izmir;Izmir (Turkish: İzmir) is a rapidly growing city on the Central Aegean coast of Turkey.
2;218630169;Konya;"Konya is a city in Central Anatolia in Turkey, known as the city of ""whirling dervishes"" and for its outstanding Seljuk architecture. In 2021 Konya metropolis had a population of 2,277,017, the sixth largest in Turkey, but the area of most interest is compact."
3;214485342;Trabzon;Trabzon (formerly Trebizond) is the largest city in the Eastern Karadeniz region of Turkey. Trabzon functioned as an independent state or empire during several periods in its long history, ruling over a vast area from Sinop in the west to Georgia in the east, even including territory in Crimea. Within Turkey Trabzon is known as a hospitable, energetic, traditional and patriotic city, which is culturally somewhat distinct from the rest of the country.
4;205436729;Kyiv;Kyiv (Ukrainian: Київ, also transliterated Kiev from Russian: Киев) is the capital of Ukraine, and its largest and most vibrant city. It is a city where the golden domes of Orthodox cathedrals sit amidst royal palaces and the grey concrete of Soviet Brutalist buildings.
5;201784488;Chernihiv;Chernihiv (Ukrainian: Чернігів, also transliterated Chernigov from Russian: Чернигов), located in the north of Central Ukraine, is one of the most ancient and most interesting cities of Ukraine known in the world primarily for its sacred Christian temples created over 1000-year history of the city and being invaluable treasure of Ukrainian people.
6;202874647;Chernivtsi;"Chernivtsi (Ukrainian: Чернівці; Romanian: Cernăuți) is a city in Western Ukraine. It was also previous known as Chernowitz after its German name (Czernowitz) or Chernovtsy after its Russian name (Черновцы́)."
7;202665940;Dnipro;Dnipro (Ukrainian: Дніпро, also transliterated Dnepr from Russian: Днепр), until May 2016 known as Dnipropetrovsk (Ukrainian: Дніпропетро́вськ) or Dnepropetrovsk (Russian: Днепропетровск), is a major industrial city in Eastern Ukraine. It is named after the Dnieper River (known in Ukraine as the Dnipro River) than runs through it. You may find some interesting and useful information about Dnipro on unofficial website.
8;201234089;Kamianets-Podilskyi;Kamianets-Podilskyi (Ukrainian: Кам’янець-Подільський) is a city in Western Ukraine.
9;203724612;Kharkiv;Kharkiv (Ukrainian: Харків, also transliterated Kharkov from Russian: Харьков) is a major city in the Kharkiv region of Ukraine and is the second largest city in Ukraine with a population of over 1.5 million inhabitants. The city is in the northeast of the Ukraine. The site of the city is a hilly plain — more than half of the area of the city is about 100m above sea level. It sits at the confluence of three rivers: the Lopan, the Udy and the Kharkiv. The city has 9 administrative districts.
