location_id,city,country
220169217,Kabul,Afghanistan
220158566,Balkh,Afghanistan
223148463,Bamian,Afghanistan
220234811,Ghazni,Afghanistan
65211506,Luanda,Angola
225649333,Ulaanbaatar,Mongolia
228179624,Herat,Afghanistan
219894888,Jalalabad,Afghanistan
244798301,Kandahar,Afghanistan
219957273,Kunduz,Afghanistan
104188068,Andorra la Vella,Andorra
368061727,Sant Julia de Loria,Andorra
103684466,Escaldes-Engordany,Andorra
104028282,Encamp,Andorra
104118732,La Massana,Andorra
103683136,Ordino,Andorra
105013521,Canillo,Andorra
65444985,Benguela,Angola
65459770,Cabinda,Angola
65567538,Huambo,Angola
65342974,Lobito,Angola
225106041,Choibalsan,Mongolia
65323569,M'banza Congo,Angola
65493152,Lubango,Angola
65204864,Malanje,Angola
1498349,City of Hamilton,Bermuda
1501669,Town of St. George,Bermuda
70712950,Manama,Bahrain
70580137,Hamad Town,Bahrain
70489324,Isa Town,Bahrain
70977514,Muharraq,Bahrain
70696461,Riffa,Bahrain
70721699,Sitra,Bahrain
296248860,Belmopan,Belize
296597637,Belize City,Belize
295498587,Corozal Town,Belize
255647083,Seria,Brunei
295429042,Crooked Tree,Belize
375274346,Dangriga Town,Belize
296057837,Hopkins,Belize
296298847,Orange Walk Town,Belize
375076003,Punta Gorda Town,Belize
66526560,Porto-Novo,Benin
256141366,Tutong,Brunei
66709903,Abomey,Benin
67617565,Cotonou,Benin
66514666,Grand-Popo,Benin
67242556,Malanville,Benin
67116430,Natitingou,Benin
66576475,Whydah,Benin
69276509,Parakou,Benin
240659863,Thimphu,Bhutan
241641728,Jakar,Bhutan
239875211,Mongar,Bhutan
240031760,Paro,Bhutan
296883204,San Pedro de Macorís,Dominican Republic
298052530,Samana,Dominican Republic
297139268,Santiago de los Caballeros,Dominican Republic
239680747,Punakha,Bhutan
240202418,Phuntsholing,Bhutan
239398726,Samdrup Jongkhar,Bhutan
239820781,Trashigang,Bhutan
61495410,Gaborone,Botswana
60611891,Francistown,Botswana
60536473,Ghanzi,Botswana
60603000,Gweta,Botswana
269213903,Egilsstaðir,Iceland
279350236,Hafnarfjordur,Iceland
61711499,Kanye,Botswana
60441021,Kasane,Botswana
60697389,Maun,Botswana
60607489,Nata,Botswana
256138902,Bandar Seri Begawan,Brunei
255587085,Bangar,Brunei
256328520,Kuala Belait,Brunei
256094187,Muara Town,Brunei
292358296,Ouagadougou,Burkina Faso
290318731,Banfora,Burkina Faso
293208342,Bobo-Dioulasso,Burkina Faso
288075020,Dédougou,Burkina Faso
