<http://codes.wmo.int/def/bufr4/fxy>,@id,@notation,@status,rdf:type,rdfs:label,skos:notation,skos:note
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/0>,0,stable,skos:Concept,'Cloud development not observed or not observable'@en,0,'Characteristic change of the state of sky during the past hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/1>,1,stable,skos:Concept,'Clouds generally dissolving or becoming less developed'@en,1,'Characteristic change of the state of sky during the past hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/2>,2,stable,skos:Concept,'State of sky on the whole unchanged'@en,2,'Characteristic change of the state of sky during the past hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/3>,3,stable,skos:Concept,'Clouds generally forming or developing'@en,3,'Characteristic change of the state of sky during the past hour'@en
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/4>,4,stable,skos:Concept,"'Visibility reduced by smoke, e.g. veldt or forest fires, industrial smoke or volcanic ashes'@en",4,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/5>,5,stable,skos:Concept,'Haze'@en,5,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/6>,6,stable,skos:Concept,"'Widespread dust in suspension in the air, not raised by wind at or near the station at the time of observation'@en",6,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/7>,7,stable,skos:Concept,"'Dust or sand raised by wind at or near the station at the time of observation, but no well-developed dust whirl(s) or sand whirl(s), and no duststorm or sandstorm seen; or, in the case of sea stations and coastal stations, blowing spray at the station'@en",7,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/8>,8,stable,skos:Concept,"'Well-developed dust whirl(s) or sand whirl(s) seen at or near the station during the preceding hour or at the same time of observation, but no duststorm or sandstorm'@en",8,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/9>,9,stable,skos:Concept,"'Duststorm or sandstorm within sight at the time of observation, or at the station during the preceding hour'@en",9,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/10>,10,stable,skos:Concept,'Mist'@en,10,""
'020003',<http://codes.wmo.int/bufr4/codeflag/0-20-003/11>,11,stable,skos:Concept,'Patches'@en,11,"'shallow fog or ice fog at the station, whether on land or sea, not deeper than about 2 metres on land or 10 metres at sea'@en"
